DEPTH_MD,GROUP,FORMATION,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,DTS,ROPA
1529.072,HORDALAND GP.,Skade Fm.,0.8830960393,0.8401613832,2.1693513393,121.58947754,0.4356504381,5.9739055634,149.82847595,309.98590088,86.563026428
1529.224,HORDALAND GP.,Skade Fm.,0.8740916252,0.8376999497,2.15365839,128.00985718,0.4360458553,6.0425181389,150.27731323,301.67514038,100.99952698
1529.376,HORDALAND GP.,Skade Fm.,0.86136657,0.8294733167,2.1435348988,130.45837402,0.4390638769,5.8834671974,150.2644043,300.90963745,115.4360199
1529.528,HORDALAND GP.,Skade Fm.,0.8566065431,0.8264314532,2.1431000233,133.20121765,0.4451089799,5.8758997917,150.14427185,304.33343506,129.87251282
1529.68,HORDALAND GP.,Skade Fm.,0.8552590609,0.8199298382,2.1565058231,124.23672485,0.4474917054,5.9290122986,149.80461121,311.70941162,144.309021
1529.832,HORDALAND GP.,Skade Fm.,0.8447747231,0.8098381162,2.1587162018,119.14057159,0.4373642802,5.9511289597,149.05307007,327.3236084,158.74551392
1529.984,HORDALAND GP.,Skade Fm.,0.8433490992,0.8138381839,2.075221777,118.89694214,0.4088145494,5.8821840286,148.4082489,336.63934326,173.18200684
1530.136,HORDALAND GP.,Skade Fm.,0.8415094018,0.8151366711,2.0203561783,117.13806152,0.4013568461,5.2518758774,148.31062317,342.85601807,159.17988586
1530.288,HORDALAND GP.,Skade Fm.,0.8414000273,0.825071454,2.1594493389,130.31526184,0.4021281898,4.5672206879,145.88903809,337.42373657,141.83203125
1530.44,HORDALAND GP.,Skade Fm.,0.845898211,0.825699985,2.1865866184,132.45828247,0.4070731103,4.2769246101,145.14085388,331.5241394,124.48416901
1530.592,HORDALAND GP.,Skade Fm.,0.8504067659,0.825699985,2.1819105148,130.47447205,0.3775790036,3.9768013954,145.81776428,323.20547485,107.13632202
1530.744,HORDALAND GP.,Skade Fm.,0.8507000208,0.8261659145,2.179915905,128.60725403,0.3935773671,4.1145534515,145.57441711,320.59344482,89.788467407
1530.896,HORDALAND GP.,Skade Fm.,0.8522801995,0.8262000084,2.18937397,125.59757233,0.3966660798,4.3900671005,145.42050171,322.38134766,72.440612793
1531.048,HORDALAND GP.,Skade Fm.,0.8548089266,0.8326855898,2.1585986614,128.0715332,0.4251513183,4.4860811234,142.42964172,316.51132202,62.470088959
1531.2,HORDALAND GP.,Skade Fm.,0.8913210034,0.8354181051,2.1597044468,130.80169678,0.4254591763,5.5014438629,139.28971863,314.96838379,68.54334259
1531.352,HORDALAND GP.,Skade Fm.,0.9718654156,0.8956624866,2.162763834,128.70463562,0.4268660247,6.1292486191,136.54504395,324.30343628,74.616600037
1531.504,HORDALAND GP.,Skade Fm.,1.020309329,1.0777771473,2.0690901279,126.93566132,0.4179030657,9.231180191,136.15388489,327.39749146,80.689857483
1531.656,HORDALAND GP.,Skade Fm.,0.9288539886,0.9359232783,1.9613457918,123.11682129,0.428191185,9.9046611786,137.6038208,328.79266357,86.763114929
1531.808,HORDALAND GP.,Skade Fm.,0.8881312609,0.8557265997,2.1490066051,98.617240906,0.4145817459,8.2823429108,143.73503113,329.88143921,92.836372375
1531.96,HORDALAND GP.,Skade Fm.,0.8586719036,0.8377440572,2.1379821301,113.76216125,0.4177565575,7.4676127434,146.71038818,332.62762451,98.909622192
1532.112,HORDALAND GP.,Skade Fm.,0.8561000228,0.8508607745,2.2104914188,124.16200256,0.4515357018,7.1083278656,147.48153687,337.4737854,96.629333496
1532.264,HORDALAND GP.,Skade Fm.,0.8561000228,0.8664336205,2.2932980061,130.99671936,0.4551717937,6.7844800949,147.79168701,329.81265259,91.365631104
1532.416,HORDALAND GP.,Skade Fm.,0.8820167184,0.8679000139,2.2761766911,142.93234253,0.4128483832,6.4766139984,148.00204468,322.80645752,86.101928711
1532.568,HORDALAND GP.,Skade Fm.,0.8870517015,0.8719530702,2.2154958248,143.6577301,0.4277548194,5.8014016151,147.36929321,311.73239136,80.838226318
1532.72,HORDALAND GP.,Skade Fm.,0.8968157172,0.8723999858,2.1708576679,142.38084412,0.4436349571,5.5702104568,148.40936279,321.96102905,75.574523926
1532.872,HORDALAND GP.,Skade Fm.,0.9009442925,0.8727581501,2.1720511913,141.29034424,0.4289937615,5.6593117714,148.46961975,333.85476685,70.310821533
1533.024,HORDALAND GP.,Skade Fm.,0.9026386142,0.8728892207,2.1765372753,144.95959473,0.4127323627,5.533847332,144.08105469,343.05075073,67.813842773
1533.176,HORDALAND GP.,Skade Fm.,0.8997737765,0.8732560277,2.1754868031,148.91255188,0.4171414077,5.2476906776,141.2177887,345.18572998,80.072761536
1533.328,HORDALAND GP.,Skade Fm.,0.8972709775,0.8693968058,2.1779611111,152.83280945,0.4339563251,5.6599988937,140.19075012,344.75531006,92.331680298
1533.48,HORDALAND GP.,Skade Fm.,0.8929302096,0.8672189713,2.1856434345,144.45358276,0.4253830612,6.0904955864,142.89338684,342.79382324,104.59059143
1533.632,HORDALAND GP.,Skade Fm.,0.899548173,0.8874737024,2.2091915607,142.68327332,0.4064384997,6.28384161,142.86500549,342.51821899,116.84951019
1533.784,HORDALAND GP.,Skade Fm.,0.9395509362,0.9217749834,2.2094733715,140.71647644,0.4128952622,5.9183454514,138.93078613,344.2880249,129.10842896
1533.936,HORDALAND GP.,Skade Fm.,0.964460969,0.9448714852,2.209100008,138.36354065,0.436029315,5.8654999733,138.30049133,346.96725464,141.36734009
1534.088,HORDALAND GP.,Skade Fm.,0.971134007,0.9430415034,2.1814746857,137.34739685,0.4326308072,5.1413779259,138.15483093,349.23684692,142.26152039
1534.24,HORDALAND GP.,Skade Fm.,0.9641148448,0.9271424413,2.1775000095,136.46203613,0.4275150895,5.0370001793,138.37464905,351.27639771,134.89044189
1534.392,HORDALAND GP.,Skade Fm.,0.9367589951,0.909520328,2.1733291149,148.11244202,0.3933602273,4.7432703972,139.38595581,347.94610596,127.51937103
1534.544,HORDALAND GP.,Skade Fm.,0.9374793172,0.9039937854,2.1726999283,143.98988342,0.4200155437,4.6989002228,140.36949158,345.77059937,120.14829254
1534.696,HORDALAND GP.,Skade Fm.,0.9441588521,0.9087679386,2.1730453968,141.00196838,0.42904526,4.6382808685,141.49450684,344.68585205,112.77722168
1534.848,HORDALAND GP.,Skade Fm.,0.9398465157,0.909427762,2.1739611626,136.10630798,0.437623322,4.7062664032,140.84172058,345.53005981,105.40614319
1535.0,HORDALAND GP.,Skade Fm.,0.9390000105,0.9119748473,2.1750440598,137.62019348,0.4643911123,4.8556079865,140.89489746,343.85501099,98.035064697
1535.152,HORDALAND GP.,Skade Fm.,0.939171195,0.9124000072,2.1979675293,140.23345947,0.4546485841,5.3060216904,141.27603149,339.54763794,104.70630646
1535.304,HORDALAND GP.,Skade Fm.,0.9431236386,0.9325302243,2.1977057457,142.84671021,0.4508499503,5.1408047676,140.92097473,336.1993103,111.37754822
1535.456,HORDALAND GP.,Skade Fm.,0.9473725557,0.9359999895,2.1966598034,144.15353394,0.4537472129,4.95125103,141.94694519,332.70681763,118.04878235
1535.608,HORDALAND GP.,Skade Fm.,0.9686996341,0.9330307841,2.1920189857,146.21170044,0.4292737842,5.201218605,143.38366699,338.79998779,124.72002411
1535.76,HORDALAND GP.,Skade Fm.,1.0035957098,0.9862682223,2.190861702,143.88731384,0.4105970562,5.3123264313,144.35731506,341.20910645,131.39126587
1535.912,HORDALAND GP.,Skade Fm.,1.1717523336,1.0643856525,2.1864161491,134.3679657,0.4349770248,5.3894853592,147.02842712,331.90182495,138.0625
1536.064,HORDALAND GP.,Skade Fm.,1.0818653107,1.0203931332,2.2084507942,128.1625061,0.4294146895,5.5205612183,149.79391479,322.61645508,140.35244751
1536.216,HORDALAND GP.,Skade Fm.,1.0225592852,0.9782693386,2.3111481667,124.51039124,0.4222899079,5.8260297775,146.93421936,338.081604,136.61810303
1536.368,HORDALAND GP.,Skade Fm.,0.990372777,0.9444013834,2.3058240414,122.34085083,0.4273940027,7.3163399696,145.63421631,348.21047974,132.88375854
1536.52,HORDALAND GP.,Skade Fm.,0.9854000211,0.9353206754,2.2349903584,129.14038086,0.4469961524,7.9453234673,140.5118866,351.66278076,129.14941406
1536.672,HORDALAND GP.,Skade Fm.,0.9732066393,0.9345999956,2.1808893681,128.46949768,0.4409950674,9.6031942368,138.91282654,353.01980591,125.41506958
1536.824,HORDALAND GP.,Skade Fm.,0.962759912,0.924013257,2.1394991875,134.8837738,0.4266763628,10.057967186,139.81077576,353.54550171,121.6807251
1536.976,HORDALAND GP.,Skade Fm.,0.9446989894,0.9157835245,2.1037540436,142.77761841,0.4195670485,9.9996652603,139.77072144,352.99615479,117.94638062
1537.128,HORDALAND GP.,Skade Fm.,0.9246001244,0.9033238292,2.1580827236,141.47106934,0.4178603888,8.9674129486,139.64865112,352.28170776,112.40556335
1537.28,HORDALAND GP.,Skade Fm.,0.920918107,0.8917287588,2.2123887539,129.27403259,0.4320301116,7.6871190071,137.3890686,351.29333496,106.52806854
1537.432,HORDALAND GP.,Skade Fm.,0.9471901059,0.8674106002,2.2134170532,122.54419708,0.4390373826,6.7742137909,138.66073608,352.36474609,100.65058136
1537.584,HORDALAND GP.,Skade Fm.,0.9557868838,0.9001791477,2.2172179222,125.92727661,0.4401442707,7.1647729874,140.0456543,353.28256226,94.773086548
1537.736,HORDALAND GP.,Skade Fm.,1.0110003948,0.9388180375,2.2149300575,128.94061279,0.4437696934,8.0109300613,139.41566467,355.03085327,88.895599365
1537.888,HORDALAND GP.,Skade Fm.,1.0787854195,0.9413511157,2.2298731804,131.43258667,0.4433057606,8.0474119186,137.39649963,359.2671814,83.018104553
1538.04,HORDALAND GP.,Skade Fm.,1.1422548294,1.0527354479,2.2227189541,138.98269653,0.4701618254,6.303123951,135.17308044,356.81097412,76.852058411
1538.192,HORDALAND GP.,Skade Fm.,1.0124883652,1.0393800735,2.2164037228,137.47949219,0.4622356296,5.5101494789,135.18154907,350.73876953,69.874710083
1538.344,HORDALAND GP.,Skade Fm.,0.9713144898,0.9616024494,2.2090945244,133.62561035,0.4527749717,5.5070590973,140.27485657,339.80258179,62.897354126
1538.496,HORDALAND GP.,Skade Fm.,0.9488653541,0.9285750985,2.2005550861,130.19206238,0.4575264454,5.7501993179,144.78034973,332.9887085,55.919998169
1538.648,HORDALAND GP.,Skade Fm.,0.9512355328,0.908354044,2.1974477768,131.81022644,0.4629972875,7.1391406059,143.26974487,337.23919678,48.942646027
1538.8,HORDALAND GP.,Skade Fm.,1.0161601305,0.8974599242,2.1986064911,143.7331543,0.462572664,7.7300825119,138.11369324,346.33712769,41.965293884
1538.952,HORDALAND GP.,Skade Fm.,1.0330740213,0.918848753,2.1835939884,138.2857666,0.4659923017,8.4834871292,135.53067017,348.22348022,34.987937927
1539.104,HORDALAND GP.,Skade Fm.,0.9601863027,0.9272053838,2.1698122025,131.49307251,0.4759790301,9.0346097946,135.15812683,344.48376465,33.161022186
1539.256,HORDALAND GP.,Skade Fm.,0.940500021,0.933450222,2.1598234177,122.4225235,0.468747586,9.8193454742,135.38011169,344.2755127,33.711231232
1539.408,HORDALAND GP.,Skade Fm.,0.9494184852,0.9350000024,2.1676571369,126.89474487,0.4624230862,10.115862846,136.53237915,346.728302,34.261440277
1539.56,HORDALAND GP.,Skade Fm.,0.9493278265,0.9286085963,2.1462373734,139.88233948,0.4874332845,9.5820331573,138.9230957,349.30212402,34.811649323
1539.712,HORDALAND GP.,Skade Fm.,0.9497655034,0.9180975556,2.1446835995,143.28471375,0.5069212914,9.556438446,143.83000183,345.32550049,35.361858368
1539.864,HORDALAND GP.,Skade Fm.,0.9352247715,0.9132757187,2.1625471115,138.12010193,0.5121044517,9.6004753113,149.51550293,337.90512085,35.912071228
1540.016,HORDALAND GP.,Skade Fm.,0.9281212091,0.9073512554,2.1812708378,138.11793518,0.5166909099,9.4934511185,150.3021698,336.9473877,37.026889801
1540.168,HORDALAND GP.,Skade Fm.,0.925607264,0.9021836519,2.1331553459,135.64025879,0.5215932727,8.4445667267,147.58215332,341.33590698,42.940895081
1540.32,HORDALAND GP.,Skade Fm.,0.9217271209,0.8979570866,2.1304547787,136.77857971,0.4921906888,8.7142324448,146.66374207,344.39724731,48.854904175
1540.472,HORDALAND GP.,Skade Fm.,0.9087032676,0.8764451146,2.1427288055,137.95094299,0.4834348857,9.0983934402,147.30990601,344.1852417,54.768909454
1540.624,HORDALAND GP.,Skade Fm.,0.968108058,0.920571208,2.1689748764,136.08308411,0.4652537405,9.3486461639,146.76000977,344.38995361,60.682914734
1540.776,HORDALAND GP.,Skade Fm.,1.010133028,0.9545355439,2.189375639,136.81900024,0.4450067878,9.1204786301,145.25752258,345.12948608,66.596923828
1540.928,HORDALAND GP.,Skade Fm.,1.022567153,0.9878920317,2.1722579002,139.01031494,0.4181752205,8.2325754166,140.32725525,349.09606934,72.510932922
1541.08,HORDALAND GP.,Skade Fm.,1.0242999792,1.2122237682,2.1281774044,132.91917419,0.412280947,8.3525428772,135.8572998,351.86221313,71.73891449
1541.232,HORDALAND GP.,Skade Fm.,1.0330824852,1.2826999426,2.2114808559,132.57762146,0.4163781106,9.6781263351,134.72387695,349.26571655,64.949478149
1541.384,HORDALAND GP.,Skade Fm.,1.0360000134,1.3537021875,2.3068699837,138.30322266,0.4128864706,9.7959156036,136.04747009,345.3125,58.160045624
1541.536,HORDALAND GP.,Skade Fm.,1.0737134218,1.415984273,2.3172690868,132.24729919,0.4020579755,9.019276619,138.89080811,346.22412109,51.370609283
1541.688,HORDALAND GP.,Skade Fm.,1.086599946,1.4720375538,2.3235285282,128.8094635,0.41279158,8.7884054184,141.22387695,349.30432129,44.581172943
1541.84,HORDALAND GP.,Skade Fm.,1.2557550669,1.486899972,2.3229267597,130.28901672,0.4167853296,8.2108154297,143.24308777,349.56439209,37.791740417
1541.992,HORDALAND GP.,Skade Fm.,1.3272467852,1.482252121,2.2411577702,140.91477966,0.4097125828,7.1375851631,140.52449036,347.67156982,31.002304077
1542.144,HORDALAND GP.,Skade Fm.,1.1457173824,1.3278057575,2.1899528503,138.78826904,0.4060499966,6.5852336884,140.05050659,343.98150635,35.526386261
1542.296,HORDALAND GP.,Skade Fm.,1.0002812147,1.0591439009,2.1908824444,131.07327271,0.3957851529,5.7881908417,141.4543457,341.39425659,40.67899704
1542.448,HORDALAND GP.,Skade Fm.,0.9488245845,0.9475938678,2.2019376755,133.61962891,0.3951199353,5.7031154633,139.17414856,340.171875,45.831607819
1542.6,HORDALAND GP.,Skade Fm.,0.939091146,0.9267651439,2.2089447975,143.62800598,0.4333569407,5.6438136101,136.80580139,339.61975098,50.984222412
1542.752,HORDALAND GP.,Skade Fm.,0.9344694018,0.9200491309,2.227891922,144.64532471,0.4303427935,5.5824494362,135.51229858,335.33087158,56.136833191
1542.904,HORDALAND GP.,Skade Fm.,0.9313841462,0.9190608859,2.2389032841,149.06724548,0.4162485898,5.4012618065,134.99287415,333.30160522,61.28944397
1543.056,HORDALAND GP.,Skade Fm.,0.9420938492,0.9252426028,2.2475059032,145.57232666,0.4071854949,5.2805261612,135.58799744,332.23117065,67.976112366
1543.208,HORDALAND GP.,Skade Fm.,0.9741577506,0.9590553045,2.2411718369,138.98083496,0.4017905891,5.1705913544,136.45829773,334.33163452,77.29258728
1543.36,HORDALAND GP.,Skade Fm.,0.9833148718,0.9644309878,2.2265324593,133.0080719,0.4065265059,4.9377608299,137.20735168,339.48022461,86.609062195
1543.512,HORDALAND GP.,Skade Fm.,0.95216012,0.9295954704,2.2068800926,127.64320374,0.4234798551,4.698489666,137.9487915,345.51409912,95.925537109
1543.664,HORDALAND GP.,Skade Fm.,0.9324293137,0.9056147337,2.1908488274,127.80535126,0.4077130258,4.6330041885,138.52928162,346.72616577,105.24201202
1543.816,HORDALAND GP.,Skade Fm.,0.9175313115,0.8984154463,2.1788167953,136.67800903,0.4065004885,4.7112407684,138.60882568,347.97601318,114.55848694
1543.968,HORDALAND GP.,Skade Fm.,0.9078151584,0.8939225078,2.1705744267,140.02403259,0.4170179367,4.8709363937,139.41218567,349.38510132,123.87496185
1544.12,HORDALAND GP.,Skade Fm.,0.9062207341,0.8889942169,2.1777551174,139.94204712,0.412808001,5.7418284416,139.16952515,348.61578369,133.08615112
1544.272,HORDALAND GP.,Skade Fm.,0.9090536833,0.8872206211,2.182258606,139.78656006,0.4252729416,6.0931038857,137.99961853,345.91064453,142.26937866
1544.424,HORDALAND GP.,Skade Fm.,0.9158362746,0.8888396025,2.1820824146,143.11309814,0.4422984123,6.0806760788,137.18891907,344.26348877,151.45262146
1544.576,HORDALAND GP.,Skade Fm.,0.9214879274,0.8973618746,2.1800980568,147.96403503,0.454354018,6.0393924713,137.83476257,345.74993896,160.63586426
1544.728,HORDALAND GP.,Skade Fm.,0.9243501425,0.9016976953,2.1786785126,139.175354,0.4548688531,6.1119880676,139.70257568,348.38293457,169.81910706
1544.88,HORDALAND GP.,Skade Fm.,0.9274758101,0.9007245898,2.1800506115,131.671875,0.4581389427,6.2151398659,142.0643158,351.46478271,179.00234985
1545.032,HORDALAND GP.,Skade Fm.,0.9349039197,0.9214785695,2.1755924225,128.01947021,0.4245004952,5.9310054779,144.06417847,351.79025269,185.86485291
1545.184,HORDALAND GP.,Skade Fm.,0.9441463947,0.9428327084,2.176680088,134.0486145,0.3947930336,5.6202497482,145.59671021,350.46691895,184.02456665
1545.336,HORDALAND GP.,Skade Fm.,0.9528111219,0.9526873231,2.191286087,134.28671265,0.3666393161,5.2899222374,145.10765076,348.03994751,182.1842804
1545.488,HORDALAND GP.,Skade Fm.,1.089294672,0.9817485213,2.2460157871,127.67926025,0.3839256167,4.8814120293,145.14781189,344.28051758,180.34399414
1545.64,HORDALAND GP.,Skade Fm.,1.3633002043,1.2498623133,2.3552093506,134.93551636,0.4194961786,4.7295041084,149.08113098,333.53970337,178.50370789
1545.792,HORDALAND GP.,Skade Fm.,1.5338270664,1.3848234415,2.3905866146,135.3757782,0.4295610189,5.135020256,153.2696991,323.77011108,176.66342163
1545.944,HORDALAND GP.,Skade Fm.,1.454426527,1.3387316465,2.2593681812,124.51670837,0.4290661514,4.6388316154,154.24168396,322.77529907,174.82313538
1546.096,HORDALAND GP.,Skade Fm.,1.1981292963,1.0856486559,2.1913309097,117.10797882,0.4289999902,4.2638001442,152.07449341,330.80450439,171.41584778
1546.248,HORDALAND GP.,Skade Fm.,0.9985327721,0.9519075751,2.1861438751,120.21079254,0.4343802035,4.5145487785,149.3417511,340.39370728,167.0944519
1546.4,HORDALAND GP.,Skade Fm.,0.9190191031,0.908747375,2.1847660542,130.80001831,0.4380925596,4.7309174538,147.90792847,343.74551392,162.77305603
1546.552,HORDALAND GP.,Skade Fm.,0.8989604712,0.8735163212,2.1864471436,134.81407166,0.4347783029,5.1534500122,145.62243652,345.08242798,158.45166016
1546.704,HORDALAND GP.,Skade Fm.,0.8868480921,0.8575674295,2.1863155365,132.15045166,0.4466497302,5.471531868,143.77531433,346.58770752,154.13027954
1546.856,HORDALAND GP.,Skade Fm.,0.877194047,0.8524352312,2.1740350723,135.45629883,0.4222002029,5.7976899147,144.46650696,346.90789795,149.80888367
1547.008,HORDALAND GP.,Skade Fm.,0.8818617463,0.852085948,2.1588802338,138.79530334,0.4140592515,6.2969579697,148.82650757,345.18276978,145.55107117
1547.16,HORDALAND GP.,Skade Fm.,0.886737287,0.8586884737,2.1620092392,137.12489319,0.4194131494,6.9082140923,149.33384705,342.58764648,142.43771362
1547.312,HORDALAND GP.,Skade Fm.,0.8891727328,0.8626811504,2.1685602665,136.18951416,0.4199291468,7.2641692162,144.97116089,338.02420044,139.32435608
1547.464,HORDALAND GP.,Skade Fm.,0.8877566457,0.8639001846,2.1780943871,138.19664001,0.4181996286,7.4798779488,141.44158936,335.99569702,136.21101379
1547.616,HORDALAND GP.,Skade Fm.,0.8851831555,0.864015758,2.1908335686,138.33755493,0.4059922397,7.2907471657,138.89474487,339.14224243,133.09765625
1547.768,HORDALAND GP.,Skade Fm.,0.8830971122,0.8629072309,2.2178461552,134.10671997,0.4165983796,7.0777249336,137.13975525,343.75323486,129.98429871
1547.92,HORDALAND GP.,Skade Fm.,0.8862378001,0.864305377,2.2318701744,132.61457825,0.4400458038,6.0165185928,136.41662598,345.6065979,126.87094116
1548.072,HORDALAND GP.,Skade Fm.,0.9003979564,0.8878036737,2.2313973904,138.67521667,0.455278039,5.1717410088,136.1894989,345.50408936,124.74932098
1548.224,HORDALAND GP.,Skade Fm.,0.8983524442,0.8799433112,2.2200510502,142.14297485,0.469581753,4.9643130302,136.01780701,346.95501709,123.72963715
1548.376,HORDALAND GP.,Skade Fm.,0.8747125864,0.8508186936,2.1922748089,142.26927185,0.4563594759,5.1528549194,135.77340698,349.94882202,122.70996094
1548.528,HORDALAND GP.,Skade Fm.,0.855802536,0.8368012905,2.1764383316,138.00990295,0.4250688553,6.1361160278,136.68107605,351.0993042,121.6902771
1548.68,HORDALAND GP.,Skade Fm.,0.8506888747,0.836391151,2.1667597294,135.95826721,0.4351274371,7.2266368866,139.93255615,349.74807739,120.67059326
1548.832,HORDALAND GP.,Skade Fm.,0.8540930152,0.8388389945,2.1649115086,132.42575073,0.4594649971,7.7624206543,142.88009644,348.16549683,119.65090942
1548.984,HORDALAND GP.,Skade Fm.,0.8653071523,0.8411423564,2.1829252243,127.34329224,0.4780450463,7.5337791443,143.66511536,348.56011963,118.63123322
1549.136,HORDALAND GP.,Skade Fm.,0.8747078776,0.8467063904,2.1920788288,127.12065125,0.5111342072,7.0479860306,143.36936951,349.33139038,127.89129639
1549.288,HORDALAND GP.,Skade Fm.,0.8811366558,0.8604255915,2.1929066181,127.61132813,0.5225294232,6.4014773369,142.41697693,348.61856079,138.36074829
1549.44,HORDALAND GP.,Skade Fm.,0.8914935589,0.8746673465,2.1858239174,127.96243286,0.4893000126,5.6229081154,140.93283081,347.78964233,148.83018494
1549.592,HORDALAND GP.,Skade Fm.,0.9012897611,0.8844323158,2.1689984798,137.25793457,0.4426770806,5.1954221725,138.90855408,347.35153198,159.29963684
1549.744,HORDALAND GP.,Skade Fm.,0.9131516218,0.8972362876,2.1651420593,139.17915344,0.4410547316,5.5880885124,137.38288879,346.94396973,169.76908875
1549.896,HORDALAND GP.,Skade Fm.,0.9271335602,0.9144379497,2.1532363892,139.74409485,0.4823104143,6.2586107254,137.47898865,348.15072632,180.23854065
1550.048,HORDALAND GP.,Skade Fm.,0.9477478862,0.9257713556,2.1456158161,134.05458069,0.4854565263,7.1232357025,138.698349,348.96972656,185.66017151
1550.2,HORDALAND GP.,Skade Fm.,0.9559332132,0.9387511611,2.1556611061,127.14688873,0.4623376429,7.9721126556,140.03289795,348.37789917,180.14491272
1550.352,HORDALAND GP.,Skade Fm.,0.9407140613,0.9374514818,2.157446146,124.73886108,0.4365194738,8.2996244431,140.95677185,348.2946167,174.62963867
1550.504,HORDALAND GP.,Skade Fm.,0.9207448363,0.9221717715,2.1689536572,124.53794861,0.4250269532,8.2730808258,142.04286194,349.47207642,169.11437988
1550.656,HORDALAND GP.,Skade Fm.,0.9060899019,0.8880944252,2.1867806911,125.92764282,0.4351272583,8.0095024109,142.38787842,351.06286621,163.59910583
1550.808,HORDALAND GP.,Skade Fm.,0.8972706795,0.8687244058,2.2018415928,129.66360474,0.4560246766,7.3370923996,142.23477173,350.87615967,158.08383179
1550.96,HORDALAND GP.,Skade Fm.,0.8963900805,0.8705814481,2.214427948,133.92712402,0.4547939003,6.7193865776,142.09269714,349.2565918,152.568573
1551.112,HORDALAND GP.,Skade Fm.,0.9086793065,0.8822671771,2.2114071846,137.48957825,0.4363748133,5.941734314,141.59951782,348.59417725,139.98486328
1551.264,HORDALAND GP.,Skade Fm.,0.9227634668,0.896918416,2.2036013603,138.87341309,0.4258393943,5.3533511162,141.71760559,347.06130981,124.88716888
1551.416,HORDALAND GP.,Skade Fm.,0.931453228,0.9078326225,2.1991710663,138.11352539,0.423427552,4.5986738205,141.0625,341.50106812,109.78947449
1551.568,HORDALAND GP.,Skade Fm.,0.9419808388,0.9165772796,2.1955835819,136.26913452,0.4272479117,4.1453971863,139.84477234,341.00061035,94.69178009
1551.72,HORDALAND GP.,Skade Fm.,0.9411790967,0.9144194126,2.1891748905,132.6532135,0.4319083393,4.2245025635,139.34817505,345.54528809,79.594085693
1551.872,HORDALAND GP.,Skade Fm.,0.9305047989,0.9064587951,2.1800851822,135.7804718,0.4160245657,4.3838210106,139.62060547,346.09423828,64.496383667
1552.024,HORDALAND GP.,Skade Fm.,0.9256615043,0.8964354396,2.1726589203,141.25184631,0.416044414,4.5120773315,140.11776733,343.19335938,52.885066986
1552.176,HORDALAND GP.,Skade Fm.,0.9203462005,0.8889346123,2.1703932285,143.03677368,0.432826072,4.6848158836,139.93489075,339.89871216,59.867763519
